timestamp,timesteps,episodes,mean_reward_100,win_rate,elapsed_min
2026-03-20T08:01:00,13825,6907,-2.00,0.000,15.1
2026-03-20T08:16:03,28673,14330,-2.00,0.000,30.2
2026-03-20T08:26:00,38913,19421,-2.00,0.000,40.1
