timestamp,timesteps,episodes,mean_reward_100,win_rate,elapsed_min
2026-03-20T14:32:00,38913,15091,-2.01,0.000,15.2
2026-03-20T14:47:00,84169,37693,-2.00,0.000,30.2
2026-03-20T17:01:39,106497,48855,-2.00,0.000,164.9
